##ADI!!!!: hizkuntzak maiuskulaz daude eta horrela ez dira hartuko.
## Gainera hizkuntza asko [BIZ?] etiketa daukate!!!!
## eta etiketa errepikatua izatean azkenekoa hartzen du
##[BIZ]: biziduntasuna
##[HZK]: hizkuntzak
##[DEN]: denbora
##[GAI]: gaiak, materialak
##[GLU]: gailuak, ibilgailuak
##[KOM]: komunikazio-tresnak
aba	[BIZ-]
ababor	[BIZ-]
abade	[BIZ?]
abadegai	[BIZ+]
abadesa	[BIZ?]
abadetasun	[BIZ-]
abadetza	[BIZ-]
abadia	[BIZ-]
abadota	[BIZ+]
abagune	[BIZ-]
abaila	[BIZ-]
abaildura	[BIZ-]
abako	[BIZ-]
abangoardia	[BIZ-]
abantada	[BIZ-]
abantaila	[BIZ-]
abantzu	[BIZ-]
abao	[BIZ-]
abaraska	[BIZ-]
abaritz	[BIZ-]
abarizia	[BIZ?]
abarizti	[BIZ-]
abarka	[BIZ-]
abarka_handizuren	[BIZ+]
abarkagile	[BIZ+]
abarketa	[BIZ-]
abarketari	[BIZ+]
abaro	[BIZ-]
abarrategi	[BIZ-]
abat	[BIZ?]
abata	[BIZ-]
abatari	[BIZ+]
abatetxe	[BIZ-]
abatz	[BIZ-]
abdomen	[BIZ-]
abegi	[BIZ-]
abegor	[BIZ-]
abelbide	[BIZ-]
abelburu	[BIZ?]
abeldi	[BIZ-]
abeldun	[BIZ?]
abelera	[BIZ-]
abeletxe	[BIZ-]
abelgorri	[BIZ+]
abelgorriki	[BIZ?]
abeltegi	[BIZ-]
abeltxe	[BIZ+]
abeltzain	[BIZ+]
abeltzaintza	[BIZ-]
abemaria	[BIZ-]
abemarietako	[BIZ-]
abenderri	[BIZ?]
abendu	[BIZ?]
abeniko	[BIZ-]
abenka	[BIZ-]
abentura	[BIZ-]
aberasbide	[BIZ-]
aberaskeria	[BIZ-]
aberasketa	[BIZ-]
aberaski	[BIZ-]
aberastasun	[BIZ-]
aberats	[BIZ+]
abere	[BIZ+]
aberekeria	[BIZ-]
abereki	[BIZ?]
aberetasun	[BIZ-]
aberetzar	[BIZ+]
aberia	[BIZ-]
