a_anequín a_anequín RG I
a_barlovento a_barlovento RG I
a_barrisco a_barrisco RG I
a_base_de a_base_de SPS00 I
a_base_de_bien a_base_de_bien RG I
abastecimiento_de_agua abastecimiento_de_agua NCMS000 I
abastecimiento_de_agua_potable abastecimiento_de_agua_potable NCMS000 I
ab_initio ab_initio RG I
ab_intestato ab_intestato RG I
a_boca_de_cañón a_boca_de_cañón RG I
a_bocajarro a_bocajarro RG I
<abogado>_<defensor> abogado_defensor $1:NC I
a_bombo_y_platillo a_bombo_y_platillo RG I
a_borbollones a_borbollones RG I
a_borbotones a_borbotones RG I
a_bordo a_bordo RG I
a_bote_pronto a_bote_pronto RG I
ab_ovo ab_ovo RG I
a_brazo_partido a_brazo_partido RG I
a_bruces a_bruces RG I
a_buena_cuenta a_buena_cuenta RG I
a_buena_fe a_buena_fe RG I
a_buena_luz a_buena_luz RG I
a_buenas_horas a_buenas_horas RG I
a_buenas_noches a_buenas_noches RG I
a_buena_vista a_buena_vista RG I
a_buen_recaudo a_buen_recaudo RG I
a_buen_seguro a_buen_seguro RG I
a_buen_tino a_buen_tino RG I
a_bulto a_bulto RG I
a_cada_instante a_cada_instante RG I
a_cada_momento a_cada_momento RG I
a_cada_paso a_cada_paso RG I
a_cada_rato a_cada_rato RG I
a_cada_trique a_cada_trique RG I
a_cada_triquitraque a_cada_triquitraque RG I
<academia>_de_bellas_artes academia_de_bellas_artes $1:NC I
a_caja_y_espiga a_caja_y_espiga RG I
a_caliche a_caliche RG I
a_cal_y_canto a_cal_y_canto RG I
a_cambio a_cambio RG I
a_cambio_de a_cambio_de SPS00 I
a_campo_raso a_campo_raso RG I
a_campo_traviesa a_campo_traviesa RG I
a_cántaros a_cántaros RG I
a_cara_de_perro a_cara_de_perro RG I
a_cara_descubierta a_cara_descubierta RG I
a_carcajada_limpia a_carcajada_limpia RG I
a_cargo_de a_cargo_de SPS00 I
a_carretadas a_carretadas RG I
a_carta_cabal a_carta_cabal RG I
a_casquete_quitado a_casquete_quitado RG I
a_causa_de a_causa_de SPS00 I
<accidente>_de_trabajo accidente_de_trabajo $1:NC I
<accidente>_<laboral> accidente_laboral $1:NC I
<acción>_<educativa> acción_educativa $1:NC I
<acción>_<militar> acción_militar $1:NC I
<acción>_<pública> acción_pública $1:NC I
aceite_de_oliva_virgen aceite_de_oliva_virgen NCMS000 I
a_centenares a_centenares RG I
a_cepillo a_cepillo RG I
a_cerca_de a_cerca_de SPS00 I
acerca_de acerca_de SPS00 I
a_cercen a_cercen RG I
a_cercén a_cercén RG I
a_chorros a_chorros RG I
ácido_acético ácido_acético NCMS000 I
ácido_clorhídrico ácido_clorhídrico NCMS000 I
ácido_fólico ácido_fólico NCMS000 I
ácido_láctico ácido_láctico NCMS000 I
ácido_sulfúrico ácido_sulfúrico NCMS000 I
ácido_úrico ácido_úrico NCMS000 I
a_cielo_descubierto a_cielo_descubierto RG I
a_ciencia_cierta a_ciencia_cierta RG I
a_codazo_limpio a_codazo_limpio RG I
